Information Technology;26;15992470.43;2207.87710716;1147237.48873
Administration;27;21375573.91;74.3829767076;763731.8422
Supply Chain Management;27;15286082.025;399.041677391;1478341.80519
Project Management;24;10366686.97;1211.5662184;730680.770622
Health, Safety and Environment;27;8168305.0615;275.876954968;593432.921121
Software Development;27;46911166.005;513.246710677;395381.013367
Education;24;14809668.0;6124.88905291;787355.828
Production and Manufacturing;27;22322094.1;1396.4936252;811879.311735
Sales;27;28999518.3955;1356.73216592;1620392.73132
Legal;27;20638596.885;335.864407653;1150337.14332
Engineering;27;8172033.969;1080.48754124;778678.266842
Human Resources;24;22547641.425;812.75298663;1550438.14673
Marketing - B2B;27;8338595.186;517.413105601;405091.27855
Customer Service;22;12916576.91;125.88132367;453769.069857
Corporate Affairs;27;10314694.826;460.667414754;1064027.64644
Research and Development;27;37219402.89;1245.54141356;1111266.76524
Finance;24;17721458.15;600.418696799;1435260.32399
Quality Assurance;24;13071782.81;357.492556967;939728.247311
Marketing;27;23933542.96;554.792063668;1130416.72968
Merchandising;31;10489016.15;162.073620921;1856093.25818
Finance - Audit;24;18133733.7;135.651608927;2407514.7618
Finance - Taxation;24;20604403.435;583.779810227;818016.454833
Mining Operations;27;5525598.057;194.714757109;343178.511833
Human Resources - Recruitment;22;9207329.954;220.053300833;1003464.9184
Human Resources - Compensation & Benefits;22;12565687.403;116.624434389;521839.5812
Finance - Treasury;24;30846745.97;101.540102727;856864.935417
Human Resources - Training;22;13996433.475;273.751991673;1014763.44366
Logistics and Supply Chain;24;11404490.11;203.406739049;577751.287214
Executive Management;41;66927043.36;798.06634737;1225157.48925
Piping;24;29083345.63;417.753279651;1323534.96226
Property Management;27;9311762.089;176.269418052;378930.5298
Oil and Energy Operations - Downstream;22;16261266.66;1128.7951062;996084.373914
Oil and Energy Operations;24;18477303.145;1283.88602793;956301.1174
Operations;22;15484973.54;206.20321278;883197.646579
Engineering - Electrical & Electronics;19;10549550.02;540.633710214;1114778.09464
Exploration;27;34160824.04;161.423407747;1358655.56882
Strategy and Corporate Planning;24;34114432.67;176.488095238;257396.41175
Marine Operations;19;9872468.854;361.678240741;685705.331908
Marketing - B2C;24;16574187.45;240.245444209;1059763.73579
Category Management;24;18132237.43;285.272366522;530548.13925
Medical;19;19566009.94;123.463234589;3122569.32487
Human Resources - Industrial Relations;19;8059899.339;195.27630407;804001.59015
Agricultural Services and Operations;22;8231107.187;225.029485478;1028347.88762
Product Development;22;9566972.282;1116.38734949;1068644.59371
Product Development - Hardware;22;16420700.86;291.928130412;335320.77752
Product Development - Manufacturing;24;4193080.227;383.496876656;606158.661414
Infrastructure Operations;24;14921972.99;136.311472547;506602.715517
Engineering - Civil;22;17880925.89;365.303067233;956818.495029
Mine Engineering;20;15118085.17;189.789508107;445933.5842
EPC Design;18;5722087.783;284.122938194;567496.94
Marketing - B2B and B2C;22;16950485.1;120.972222222;1792086.32
Power Trading;18;8090729.054;25.0;4078937.3475
Retail Operations;27;31847702.63;50.5862513918;1057692.95896
Engineering - Marine;22;18954811.39;259.664226637;353265.669371
Design Engineering;18;5266242.2075;136.522751989;408589.18238
Hatchery;13;343621.44;37.4537037037;74882.88
Construction;24;10536732.5625;116.499306735;761695.153329
Loss Prevention;19;6594895.587;183.747415231;814656.984114
Credit;19;7738720.4085;115.251520274;896557.305725
Financial Services;22;17407707.27;102.223358761;670357.522571
Clinical Research and Development;19;7576641.6795;160.489878543;411444.49905
Customer Care - Call Centre;18;9529051.296;590.007517363;755229.589167
Risk Management;19;9086608.527;118.980769231;939788.03005
Fashion Design;19;11260340.86;508.281671409;1535509.16409
Product Development - Internet;22;14131428.68;173.214285714;1459296.80882
Content Design;18;11830534.265;33.731092437;1451563.5002
