Information Technology and Services;41;99682199.61;321.327867443;721702.324543
ITES;16;1555777.723;114.127104024;276605.84348
Logistics and Supply Chain;31;39360117.19;58.1486457305;588641.292429
Package/Freight Delivery;24;11188996.75;66.0559073837;617409.8175
Mining & Metals;31;21142190.39;680.59092015;531423.975514
Power & Energy;27;8089974.3685;112.39814392;634801.122214
Heavy Industry;31;21839875.79;604.982224151;936052.484108
Education Management;24;14809668.0;5989.65406593;304429.850086
Automotive;41;17699785.58;520.669982587;2236377.89736
Manufacturing;41;17699785.58;771.124014792;1791711.71182
Chemicals;31;44899380.015;492.118994436;1132622.43337
Biotechnology;24;32108245.98;8426.30782498;42662.5586714
Electrical/Electronic Manufacturing;31;16463857.96;2627.06823999;681148.807031
Transportation/Trucking/Railroad;24;19226256.01;109.080179568;948669.41916
Oil & Gas;22;14698206.73;105.007457421;1375249.4062
Mechanical or Industrial Engineering;27;18094683.94;1764.91176538;785800.605411
Business Supplies and Equipment;24;15752547.25;7104.79615953;822620.419614
Medical Devices;24;15752547.25;100.293386217;890298.534971
Internet;27;8040357.3015;509.232559259;1158276.998
Oil & Energy;27;18094683.94;698.939548692;591630.795853
Glass, Ceramics & Concrete;27;18047352.18;142.50693455;270520.59425
Construction;35;39649766.39;928.105630785;987607.267087
Building Materials;31;16940303.13;1107.36197275;600972.479044
Plastics;31;44899380.015;112.99978062;1007965.84474
Professional Services;24;22219968.435;100.597123938;1252247.6463
Infrastructure;35;39649766.39;230.34084745;1335167.62799
EPC;35;39649766.39;301.743095643;495541.357467
Consumer Goods;41;66927043.36;607.408885716;1318014.95806
Machinery;27;19745464.06;319.818822367;1194611.1595
Food & Beverages;41;66927043.36;1435.80051177;1406253.93047
Professional Training & Coaching;18;3385545.014;0;0
Maritime;24;6301639.0;163.645557872;-80761.6536429
Shipbuilding;24;6301639.0;208.014400565;252482.606286
Real Estate;27;8633258.026;319.936741783;1266191.25993
Research;27;17328626.46;867.386296332;446889.462786
Civil Engineering;22;9338404.845;289.84074165;843558.764486
Food Production;35;38768655.3;215.555056161;615340.630583
Fishery;14;536108.8536;49.8977238773;102534.4134
Railroad Manufacture;26;8289637.556;107.199819673;632101.152317
Government Administration;19;3471938.0;74.370501217;374840.142857
Consumer Durables;22;4737266.54;98.4870536283;1067061.7388
Hospitality;24;22219968.435;80.8723649214;1110596.0173
Pharmaceuticals;24;16114824.25;72.7871414278;468345.968425
Design;16;2217132.562;481.924211178;387932.70652
Semiconductors;18;8977576.659;150.0;682419.798633
Hospital & Health Care;22;19476227.355;84.9290679648;725174.011943
Defense & Space;29;3946580.769;726.034926637;1413632.72068
Management Consulting;19;8302725.544;767.092331843;833383.203386
Retail;31;10489016.15;60.844135206;825709.627343
Supermarkets;27;47633458.28;277.757003494;1003535.75599
FMCG;27;29949764.23;146.424774467;487590.232886
Banking;16;5016930.915;62.5;1469925.4485
BFSI;24;8411982.893;75.8696461639;863160.821686
International Trade and Development;16;2915172.922;746.015400492;485912.18437
Industrial Automation;24;12298271.39;168.585606745;690642.388857
Wine and Spirits;24;13707749.05;357.507994223;-619867.197093
Outsourcing/Offshoring;22;10236376.78;8474.54398298;656780.353622
Accounting;19;6135713.813;335.833333333;763625.50632
Human Resources;19;6135713.813;335.833333333;763625.50632
Packaging and Containers;24;23365011.08;90.0283095157;778821.752657
Wholesale;22;11395491.58;124.020113969;917315.142614
Apparel & Fashion;27;22837271.77;104.595375167;1129098.85341
Health Care;20;6793853.597;99.3516878848;-131995.004063
Financial Services;24;12918868.97;19696.4244264;354268.188517
Restaurants;22;5731440.874;54.7353954164;94901.2953286
e-Learning;22;14960791.08;33.3008994125;1412292.58415
Agri Industry;27;20653438.18;106.448349157;973674.72345
Architecture & Planning;19;6678708.9065;533.35912479;756060.2087
Shipping;22;18954811.39;295.270879309;2532226.19196
Farming;19;7398362.912;75.1458885942;543892.75708
Non-Profit Organization Management;19;7264912.0;443.395949289;965363.428571
Telecommunications;24;22588359.72;1083.99014156;274372.989814
Fine Art;16;4464608.0;100.0;828355.0
e-Commerce;27;8040357.3015;1024.25099387;1213321.90216
Cosmetics;24;18971700.64;350.055879495;726043.66268
Aviation & Aerospace;31;16463857.96;165.246343629;740778.889131
Airlines/Aviation;19;6527721.354;102.579925676;825512.607675
Transportation;16;3567623.525;82.2916666667;707175.715412
Information Services;24;15991602.2365;112.934066077;1310775.44388
Luxury Goods & Jewelry;18;9861251.4585;117.261904762;321061.131483
Leisure, Travel & Tourism;16;2276549.45;0;0
Entertainment;22;9236709.5285;3483.36954998;694160.325857
International Affairs;16;9678944.0;169.727032227;1416215.08333
Textiles;16;5666841.7845;0;0
Computer Software;27;48906819.56;2205.97561703;644479.832
Tobacco;22;9994350.23;120.610119048;791146.568
Publishing;24;14809668.0;44.4182808402;719530.2
Sporting Goods;22;9673002.141;136.894730929;805331.32714
Trading;35;38768655.3;136.895273116;610739.687917
Import and Export;16;12537722.67;87.5;1612784.757
